session_start_url,net_total_requests_logged,net_num_get_requests,net_num_post_requests,net_num_put_requests,net_num_delete_requests,net_num_options_requests,net_num_head_requests,net_num_third_party_requests,net_num_first_party_requests,net_ratio_third_party_requests,net_num_unique_third_party_domains,net_num_post_to_third_party,net_num_body_to_third_party,net_num_suspicious_get_beacons_approx,net_num_2xx_responses,net_num_3xx_responses,net_num_4xx_responses,net_num_5xx_responses,net_num_json_responses,net_num_html_responses,net_num_javascript_responses,net_num_requests_with_referer,net_num_distinct_referers,net_num_cross_origin_referer
http://asianfoodnetwork.com/?omnisource=gid_asia,32,26,6,0,0,0,0,32,0,1.0,19,6,32,14,28,4,0,0,2,5,9,32,8,11
https://cloud.email.bbc.com/SignUp10_08?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=essentiallist&at_campaign_type=owned,9,1,8,0,0,0,0,9,0,1.0,6,8,9,0,9,0,0,0,4,1,0,9,2,1
https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use,2,1,1,0,0,0,0,2,0,1.0,2,1,2,0,2,0,0,0,0,0,1,2,0,2
https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use/he,1,0,1,0,0,0,0,1,0,1.0,1,1,1,0,1,0,0,0,0,0,1,1,0,1
https://foundation.wikimedia.org/wiki/Policy:Terms_of_Use/ka,1,0,1,0,0,0,0,1,0,1.0,1,1,1,0,1,0,0,0,0,0,1,1,0,1
https://openai.com/,9,0,9,0,0,0,0,9,0,1.0,4,9,9,0,9,0,0,0,1,0,0,9,2,9
https://panlasangpinoy.com/?s=,96,36,60,0,0,0,0,96,0,1.0,29,60,96,30,88,6,2,0,50,9,8,96,5,7
https://panlasangpinoy.com/basic-tortang-talong-recipe/,250,74,176,0,0,0,0,250,0,1.0,30,176,250,62,243,5,2,0,130,38,17,250,7,23
https://panlasangpinoy.com/categories/recipes/chicken-recipes/,181,112,69,0,0,0,0,181,0,1.0,51,69,181,57,142,37,2,0,51,45,14,181,17,77
https://panlasangpinoy.com/categories/recipes/dessert-and-pastry-recipes/,138,66,72,0,0,0,0,138,0,1.0,33,72,138,49,122,15,1,0,57,28,13,138,10,33
https://panlasangpinoy.com/categories/recipes/dessert-and-pastry-recipes/page/2/,105,40,65,0,0,0,0,105,0,1.0,29,65,105,32,100,4,1,0,53,13,11,105,5,10
https://panlasangpinoy.com/categories/recipes/fish-recipes-recipes/,145,71,74,0,0,0,0,145,0,1.0,32,74,145,52,128,15,2,0,58,35,15,145,11,41
https://panlasangpinoy.com/categories/recipes/vegetable-recipes/,95,44,51,0,0,0,0,95,0,1.0,27,51,95,32,87,7,1,0,48,7,12,95,7,12
https://panlasangpinoy.com/chicken-asparagus-soup-recipe/,261,79,182,0,0,0,0,261,0,1.0,30,182,261,66,254,6,0,1,127,50,21,261,8,42
https://panlasangpinoy.com/chicken-bistek/,613,257,356,0,0,0,0,613,0,1.0,48,356,613,172,554,55,4,0,265,117,41,613,21,153
https://panlasangpinoy.com/contact/,153,70,83,0,0,0,0,153,0,1.0,31,83,153,53,142,9,2,0,76,16,17,153,8,12
https://panlasangpinoy.com/filipino-chicken-ala-king/,302,105,197,0,0,0,0,302,0,1.0,36,197,302,77,282,18,2,0,144,49,24,302,13,56
https://panlasangpinoy.com/filipino-paksiw-recipe/,107,35,72,0,0,0,0,107,0,1.0,21,72,107,30,103,3,1,0,65,1,17,107,2,4
https://panlasangpinoy.com/fish-stew-paksiw-na-isda-sa-gata/,323,103,220,0,0,0,0,323,0,1.0,32,220,323,81,304,17,2,0,161,50,24,323,11,49
https://panlasangpinoy.com/healthy-roast-chicken-recipe/,387,126,261,0,0,0,0,387,0,1.0,46,261,387,101,355,21,11,0,173,63,45,387,14,96
https://panlasangpinoy.com/leche-flan/,356,134,222,0,0,0,0,356,0,1.0,45,222,356,88,328,24,2,2,147,69,31,356,14,110
https://panlasangpinoy.com/oven-roasted-asparagus/,340,123,217,0,0,0,0,340,0,1.0,42,217,340,95,312,26,1,1,152,65,35,340,15,96
https://panlasangpinoy.com/pork-ribs-caldereta/,321,129,192,0,0,0,0,321,0,1.0,44,192,321,92,293,27,1,0,139,58,22,321,14,81
https://panlasangpinoy.com/special-pork-kaldereta/,246,92,154,0,0,0,0,246,0,1.0,31,154,246,71,231,15,0,0,120,40,16,246,9,46
https://panlasangpinoy.com/stuffed-eggplant-relyenong-talong-recipe/,294,108,186,0,0,0,0,294,0,1.0,36,186,294,83,279,14,1,0,134,61,21,294,12,63
https://panlasangpinoy.com/sweet-and-sour-fish-fillet/,387,109,278,0,0,0,0,387,0,1.0,31,278,387,92,380,6,1,0,218,44,26,387,10,34
https://panlasangpinoy.com/turon/,347,100,247,0,0,0,0,347,0,1.0,32,247,347,81,338,8,1,0,181,40,27,347,10,35
https://www.allrecipes.com/,10,5,5,0,0,0,0,10,0,1.0,4,5,10,4,6,3,1,0,0,4,1,10,2,0
https://www.allrecipes.com/recipe/11883/garden-pasta-salad/,3,1,2,0,0,0,0,3,0,1.0,1,2,3,1,2,1,0,0,0,1,0,3,1,0
